 inst#     actual  predicted error distribution (ID)
   276        2:1        2:1       0,*0.8,0.2 (11449)
   277        2:1        2:1       0,*1,0 (101)
   278        2:1        2:1       0,*1,0 (14011)
   279        2:1        2:1       0.1,*0.9,0 (14538)
   280        2:1        2:1       0.1,*0.9,0 (9814)
   281        2:1        2:1       0,*0.9,0.1 (18538)
   282        2:1        2:1       0.3,*0.7,0 (19844)
   283        2:1        2:1       0,*1,0 (16382)
   284        2:1        2:1       0,*0.9,0.1 (367)
   285        2:1        2:1       0,*0.9,0.1 (17727)
   286        2:1        2:1       0.4,*0.6,0 (6880)
   287        2:1        2:1       0,*1,0 (14210)
   288        2:1        2:1       0,*1,0 (7901)
   289        2:1        2:1       0,*1,0 (12004)
   290        2:1        2:1       0,*1,0 (8388)
   291        2:1        2:1       0.1,*0.8,0.1 (2454)
   292        2:1        2:1       0.1,*0.9,0 (17175)
   293        2:1        2:1       0,*1,0 (7577)
   294        2:1        2:1       0,*1,0 (15180)
   295        2:1        2:1       0.1,*0.9,0 (16188)
   296        2:1        2:1       0,*0.8,0.2 (17932)
   297        2:1        2:1       0,*0.7,0.3 (19295)
   298        2:1        2:1       0,*0.5,0.5 (4335)
   299        2:1        2:1       0,*1,0 (3191)
   300        2:1        2:1       0,*1,0 (6586)
   301        2:1        2:1       0.1,*0.7,0.2 (10468)
   302        2:1        2:1       0.2,*0.6,0.2 (11468)
   303        2:1        2:1       0.1,*0.9,0 (17315)
   304        2:1        2:1       0.2,*0.8,0 (10878)
   305        2:1        2:1       0.1,*0.9,0 (4187)
   306        2:1        2:1       0,*1,0 (13291)
   307        2:1        2:1       0,*1,0 (1971)
   308        2:1        2:1       0,*0.9,0.1 (9147)
   309        2:1        2:1       0,*1,0 (12343)
   310        2:1        2:1       0,*1,0 (2209)
   311        2:1        2:1       0,*1,0 (14815)
   312        2:1        2:1       0,*1,0 (215)
   313        2:1        2:1       0,*1,0 (18356)
   314        2:1        2:1       0.1,*0.6,0.3 (15698)
   315        2:1        2:1       0.1,*0.6,0.3 (11428)
   316        2:1        2:1       0,*0.9,0.1 (1939)
   317        2:1        2:1       0.1,*0.9,0 (13704)
   318        2:1        2:1       0,*1,0 (17313)
   319        2:1        2:1       0.1,*0.9,0 (4543)
   320        2:1        2:1       0.3,*0.6,0.1 (17599)
   321        2:1        2:1       0.1,*0.9,0 (18489)
   322        2:1        3:0   +   0,0,*1 (10494)
   323        2:1        2:1       0.2,*0.7,0.1 (9448)
   324        2:1        2:1       0,*1,0 (3416)
   325        2:1        2:1       0.1,*0.9,0 (17834)
